"","Date","Team","Acquired","Relinquished","Notes"
"231","2009-06-25","Pistons","• second round pick (protected top 40 in 2012, top 35 in 2013-14, unprotected in 2015) (2012 #44-Kim English)• cash considerations","• rights to Chase Budinger","trade with Rockets"
"232","2009-06-25","Rockets","• rights to Chase Budinger","• second round pick (protected top 40 in 2012, top 35 in 2013-14, unprotected in 2015) (2012 #44-Kim English)• cash considerations","trade with Pistons"
"233","2009-06-25","Rockets","• rights to Jermaine Taylor","• cash considerations","trade with Wizards"
"234","2009-06-25","Wizards","• cash considerations","• rights to Jermaine Taylor","trade with Rockets"
"235","2009-06-25","Blazers","• rights to Jeff Pendergraph / Jeff Ayres","• Sergio Rodriguez• rights to Jon Brockman• cash considerations","trade with Kings"
"236","2009-06-25","Bobcats","• cash considerations","• rights to Robert Vaden","trade with Thunder"
"237","2009-06-25","Heat","• 2010 second round pick (#41-Jarvis Varnado)• 2012 second round pick (#34-Jae Crowder)","• rights to Marcus Thornton (T.)","trade with Hornets"
"238","2009-06-25","Heat","• rights to Patrick Beverley","• 2011 second round pick (#58-Ater Majok)• cash considerations","trade with Lakers"
"239","2009-06-25","Hornets","• rights to Marcus Thornton (T.)","• 2010 second round pick (#41-Jarvis Varnado)• 2012 second round pick (#34-Jae Crowder)","trade with Heat"
"240","2009-06-25","Kings","• Sergio Rodriguez• rights to Jon Brockman• cash considerations","• rights to Jeff Pendergraph / Jeff Ayres","trade with Blazers"
"241","2009-06-25","Lakers","• 2011 second round pick (#58-Ater Majok)• cash considerations","• rights to Patrick Beverley","trade with Heat"
"242","2009-06-25","Mavericks","• rights to Nick Calathes","• 2010 second round pick (less favorable of Blazers, Bulls picks) (#51-Magnum Rolle)• cash","trade with Timberwolves"
"243","2009-06-25","Mavericks","• rights to Rodrigue Beaubois• 2010 second round pick (#50-Solomon Alabi)","• rights to B.J. Mullens / Byron Mullens","trade with Thunder"
"244","2009-06-25","Nuggets","• cash considerations","• rights to Sergio Llull","trade with Rockets"
"245","2009-06-25","Nuggets","• rights to Ty Lawson","• first round pick (protected top 12 in 2010, top 10 in 2011, top 8 in 2012, top 3 in 2013, unprotected in 2014) (2010 #16-Luke Babbitt)","trade with Timberwolves"
"246","2009-06-25","Rockets","• rights to Sergio Llull","• cash considerations","trade with Nuggets"
"247","2009-06-25","Thunder","• rights to B.J. Mullens / Byron Mullens","• rights to Rodrigue Beaubois• 2010 second round pick (#50-Solomon Alabi)","trade with Mavericks"
"248","2009-06-25","Thunder","• rights to Robert Vaden","• cash considerations","trade with Bobcats"
"249","2009-06-25","Timberwolves","• 2010 second round pick (less favorable of Blazers, Bulls picks) (#51-Magnum Rolle)• cash","• rights to Nick Calathes","trade with Mavericks"
"250","2009-06-25","Timberwolves","• first round pick (protected top 12 in 2010, top 10 in 2011, top 8 in 2012, top 3 in 2013, unprotected in 2014) (2010 #16-Luke Babbitt)","• rights to Ty Lawson","trade with Nuggets"
"251","2009-06-26","Cavaliers","• rights to Emir Preldzic","• cash","trade with Suns"
"252","2009-06-26","Suns","• cash","• rights to Emir Preldzic","trade with Cavaliers"
"253","2009-07-09","Grizzlies","• Jerry Stackhouse• 2016 second round pick (from Raptors) (#57-Wang Zhelin)","• Greg Buckner","4-team trade with Magic, Mavericks, Raptors"
"254","2009-07-09","Magic","• cash• trade exception for amount of Turkoglu's contract","• Hidayet Turkoglu / Hedo Turkoglu","4-team trade with Grizzlies, Mavericks, Raptors"
"255","2009-07-09","Mavericks","• Shawn Marion• Greg Buckner• Kris Humphries• Nathan Jawai• cash","• Jerry Stackhouse• Devean George• Antoine Wright• cash","4-team trade with Grizzlies, Magic, Raptors"
"256","2009-07-09","Raptors","• Hidayet Turkoglu / Hedo Turkoglu• Devean George• Antoine Wright","• Shawn Marion• Kris Humphries• Nathan Jawai• 2016 second round pick (#57-Wang Zhelin)• cash","4-team trade with Grizzlies, Magic, Mavericks"
"257","2009-07-13","Nuggets","• Arron Afflalo• Walter Sharpe","• 2011 second round pick (less favorable of Blazers, Nuggets picks) (#52-Vernon Macklin)• cash","trade with Pistons"
"258","2009-07-13","Pistons","• 2011 second round pick (less favorable of Blazers, Nuggets picks) (#52-Vernon Macklin)• cash","• Arron Afflalo• Walter Sharpe","trade with Nuggets"
"259","2009-07-14","Hawks","• second round pick (protected top 40 through 2015, unprotected in 2016 (2013 #50-James Ennis))• future considerations (?)• cash (reportedly ~$2M)","• rights to David Andersen","trade with Rockets"
"260","2009-07-14","Rockets","• rights to David Andersen","• second round pick (protected top 40 through 2015, unprotected in 2016 (2013 #50-James Ennis))• future considerations (?)• cash (reportedly ~$2M)","trade with Hawks"
"261","2009-07-17","Clippers","• Quentin Richardson","• Zach Randolph","trade with Grizzlies"
"262","2009-07-17","Grizzlies","• Zach Randolph","• Quentin Richardson","trade with Clippers"
"263","2009-07-20","Clippers","• Sebastian Telfair• Craig Smith• Mark Madsen","• Quentin Richardson","trade with Timberwolves"
"264","2009-07-20","Timberwolves","• Quentin Richardson","• Sebastian Telfair• Craig Smith• Mark Madsen","trade with Clippers"
"265","2009-07-27","Thunder","• Etan Thomas• 2010 second round pick (#32-Dexter Pittman)• 2010 second round pick (least favorable of Blazers, Bulls, Rockets picks) (#51-Magnum Rolle)","• Chucky Atkins• Damien Wilkins","trade with Timberwolves"
"266","2009-07-27","Timberwolves","• Chucky Atkins• Damien Wilkins","• Etan Thomas• 2010 second round pick (#32-Dexter Pittman)• 2010 second round pick (least favorable of Blazers, Bulls, Rockets picks) (#51-Magnum Rolle)","trade with Thunder"
"267","2009-07-28","Bobcats","• Tyson Chandler","• Emeka Okafor","trade with Hornets"
"268","2009-07-28","Hornets","• Emeka Okafor","• Tyson Chandler","trade with Bobcats"
"269","2009-07-29","Raptors","• Marco Belinelli","• Devean George• cash","trade with Warriors"
"270","2009-07-29","Warriors","• Devean George• cash","• Marco Belinelli","trade with Raptors"
